id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	0m1	0.5561	0.5076	2	21	45	3	2020.6667
2	15naphthyridine compound	2.382	-0.6311	13	19	57	3	2020.6667
3	2a c	-0.8045	-0.1606	27	20	76	4	2017
4	3nh	1.1776	0.5003	22	28	139	5	2019.2
5	a a	0.6642	-0.0076	8	10	40	4	2012.75
6	ability	0.2515	0.0639	34	36	68	5	2014.6
7	above formula	1.2369	0.1761	21	27	77	3	2011.3333
8	above material	-0.5571	0.2235	15	24	62	3	2020.6667
9	absence	-0.1176	0.0605	10	60	79	5	2015
10	absorbance	-0.1869	-0.3504	17	54	152	8	2009.875
11	absorbed light	-0.2537	-0.3464	29	22	66	3	2017
12	absorption	-0.1097	0.053	1	99	131	8	2010.75
13	absorption band	-0.7562	-0.2121	26	11	33	3	2012.3333
14	acc	1.1448	0.2995	7	26	156	6	2009.5
15	acceptor	1.6409	-0.2552	13	81	1060	52	2018.2692
16	acceptor group	1.0642	0.2849	7	43	212	10	2010.2
17	acceptor molecule	-1.133	1.4331	12	32	96	3	2018
18	acceptor unit	2.7732	-0.6786	13	22	880	40	2019.3
19	accordance	-0.2153	-0.0574	1	107	192	11	2011.8182
20	acetal	-2.2903	1.1926	39	19	95	5	2016.8
21	acetylene	0.2819	-0.0664	6	16	64	4	2011.75
22	acf	-0.3333	-0.9164	18	23	67	3	2015
23	acid	-0.0886	-0.1761	17	195	489	35	2012.2286
24	acid functional group	0.2649	0.3198	34	36	64	5	2011
25	acid sensitive functional group	-2.2899	1.1933	39	19	95	5	2016.8
26	acidic dye	-0.2744	0.8449	16	40	117	3	2011.3333
27	acidic functional group	0.8659	0.0332	33	29	70	5	2010.2
28	acidic group	0.3322	0.4638	3	60	197	10	2015
29	acrylic resin	-0.1775	-0.0284	6	29	61	3	2015
30	action	-0.3321	0.0912	17	25	100	4	2006.75
31	activating agent	0.0946	0.1395	9	9	25	3	2013
32	active area	0.1003	-0.0524	8	39	67	5	2017
33	active layer	0.5109	0.1632	22	68	148	10	2016.5
34	active material	-0.0985	0.0541	1	31	48	3	2012.6667
35	active molecule	-1.0286	1.167	12	31	93	3	2017
36	active surface area	-0.0766	-1.0702	33	37	148	4	2015.75
37	acyloin group	0.6219	-0.3684	38	7	21	3	2012.6667
38	addition	-0.3688	-0.4996	14	232	754	37	2013.027
39	additional interfacial layer	0.6833	0.1323	22	17	84	5	2019
40	additional perovskite	0.6838	0.1321	22	17	84	5	2019
41	additive	0.4088	0.0823	8	124	479	33	2013.8788
42	adhesion	-0.1528	-0.1416	1	93	160	9	2011.3333
43	adhesion layer	-0.2355	-0.1737	1	28	53	5	2016
44	adhesive layer	-0.1897	0.0472	11	25	39	3	2007.6667
45	adhesive portion	-1.1103	-0.2327	26	14	196	15	2010.5333
46	adjacent cell unit	-0.8046	-0.1604	27	20	76	4	2017
47	adsorbent	0.6489	-0.5117	37	30	174	6	2012.6667
48	adsorbing	-0.6473	-0.1228	20	17	51	3	2008.6667
49	adsorption	-0.091	0.0413	6	117	212	11	2012
50	advance	-0.1282	-0.1595	11	30	46	3	2011.6667
51	advanced biofuel	-1.6089	-1.3554	15	33	198	6	2013.6667
52	advantage	-0.6788	0.2416	15	19	55	3	2013.3333
53	advantageous microstructure	-0.2742	0.8449	16	40	117	3	2011.3333
54	ag electrode	-0.0231	-0.3196	14	16	64	4	2016.25
55	agcl	-0.9648	-0.7431	41	24	96	4	2008.25
56	agent	-0.179	0.0592	28	217	482	31	2012.0645
57	aggregate	-0.2463	0.7466	16	58	140	5	2012.6
58	aggregate film	-0.2736	0.8444	16	40	117	3	2011.3333
59	aggregate particle	-0.2762	0.829	16	47	127	5	2011.4
60	aggregate synthesis result	-0.274	0.8449	16	40	117	3	2011.3333
61	aggregation	-0.0226	-0.1493	1	17	24	3	2014.6667
62	alcohol	0.1578	0.211	2	93	150	7	2013.1429
63	alcohol solution	-0.2867	-0.1041	4	13	39	3	2012.3333
64	ald	1.0254	-0.5504	37	10	28	3	2010.6667
65	alkene	0.0936	0.4055	34	21	63	3	2010.6667
66	alkenyl group	0.4388	0.4295	2	68	121	6	2015.3333
67	alkoxy	0.5087	0.2123	8	16	31	3	2014.3333
68	alkoxy group	0.5617	0.5694	2	107	494	21	2016.0952
69	alkyl	0.6467	0.1327	35	128	455	24	2014.4167
70	alkyl group	0.3349	0.5683	2	243	1031	57	2014.0702
71	alkyl thiophene unit	0.4975	0.2391	23	9	27	3	2011.6667
72	alkylene group	0.4681	0.614	2	68	156	7	2018
73	alkylenedioxy group	0.6328	0.6695	2	32	244	8	2013.25
74	alkylimidazolium cation	0.2345	-0.2147	31	32	96	3	2017
75	alkyne	0.0938	0.406	34	21	63	3	2010.6667
76	alkynyl group	0.5052	0.4912	2	49	117	6	2016
77	aluminum	0.0761	-0.1222	14	37	73	5	2009.2
78	aluminum oxide	-0.1269	-0.0019	5	77	139	7	2008.8571
79	amide acetal	-2.2902	1.193	39	19	95	5	2016.8
80	amino group	0.2293	0.3111	3	36	75	5	2011.6
81	ammonium	0.9019	0.4072	22	67	205	10	2014.6
82	amorphous metal oxide	-0.0214	-0.1816	1	12	19	3	2008
83	amorphous structure	-0.5394	0.2486	11	17	66	4	2016.75
84	amount	0.1147	0.1832	2	176	572	32	2011.5
85	analogue	0.5382	0.0546	20	27	88	10	2014
86	anatase	-0.061	-0.007	5	66	101	8	2014.25
87	anatase phase	-0.1239	-0.0695	5	27	56	4	2014.25
88	anatase phase structure	-0.5572	0.2234	15	24	62	3	2020.6667
89	anatase type titanium oxide particle	-0.7534	0.1248	27	8	32	4	2017.75
90	anchor group	1.4403	0.7799	30	52	482	12	2017.5833
91	anchoring group	1.0117	0.2108	7	114	490	30	2012.9667
92	angle	-0.0447	0.2678	3	88	209	11	2012.7273
93	anion	0.3133	0.3082	31	175	569	29	2014.3103
94	anion component	0.2055	-0.0009	21	9	27	3	2010
95	anisotropic conductive film	-0.3334	-0.9165	18	23	67	3	2015
96	annular sealing portion	-1.0767	-0.2071	26	26	224	17	2011.2353
97	anode	-0.1535	0.0394	5	194	466	32	2012.9062
98	anode layer	-0.189	0.0285	5	42	66	4	2012.5
99	anode side	-1.0961	0.2149	32	13	39	3	2014.6667
100	antenna	-0.2715	-0.4243	1	19	34	3	2017.3333
101	antiadhesife	0.6491	-0.5102	37	30	174	6	2012.6667
102	antimony doped tin oxide	-0.1556	-0.0223	24	12	33	3	2012.3333
103	apparatus	-0.2166	-0.3244	1	278	820	63	2012.9048
104	application	-0.0536	0.292	34	318	978	64	2013.2031
105	application medium	-0.0417	-0.5243	24	9	38	5	2016.2
106	aqueous dispersion	-2.2899	1.1932	39	19	95	5	2016.8
107	aqueous layer	0.047	0.4097	28	15	43	3	2008
108	aqueous solution	-0.0982	0.0912	5	94	147	9	2010
109	ar1	0.7978	0.2645	7	43	67	5	2012
110	ar2	0.9177	0.3156	7	21	36	3	2012.3333
111	aralkyl group	0.476	0.5312	2	22	66	3	2021
112	architecture	-1.0284	1.1662	12	31	93	3	2017
113	area	-0.3097	-0.0825	1	104	228	20	2014.6
114	aromatic	0.4708	0.4785	8	11	43	4	2017.5
115	aromatic group	0.371	0.389	3	95	186	12	2012
116	aromatic ring	0.4573	0.254	23	50	91	7	2014.1429
117	aromatic ring group	0.5957	0.672	2	56	294	10	2014.1
118	aromatic solvent	0.6423	0.6789	2	31	186	6	2014
119	arrangement	0.245	0.0189	22	81	187	11	2014.9091
120	array	-0.0931	-0.5806	33	120	333	20	2012.9
121	article	-0.1979	-0.2295	1	50	81	9	2015.1111
122	aryl	0.9466	0.1031	7	122	429	23	2017.4348
123	aryl group	0.3467	0.3977	2	166	488	31	2014.6452
124	arylene group	0.7768	0.3694	3	28	88	6	2012.8333
125	aspect	-0.1396	0.1674	5	194	503	30	2013.2667
126	assembly	-0.2558	0.0773	1	94	159	13	2016.6923
127	asterisk	1.2368	0.1763	21	27	77	3	2011.3333
128	atmosphere	-0.2296	0.0108	11	39	48	4	2012.75
129	atom	0.3453	0.5497	3	165	580	27	2014.8889
130	atomic group	0.5994	0.0138	9	30	90	6	2006.8333
131	atomic layer deposition	1.0254	-0.5505	37	10	28	3	2010.6667
132	atomized droplet	-0.4554	-0.3044	25	15	44	3	2006.6667
133	atr ir	-1.0283	1.1677	12	31	93	3	2017
134	attachment	0.9039	-0.0224	21	41	182	10	2012.8
135	average diameter	-0.1702	-0.1316	1	43	66	4	2016
136	average diameter av	-0.2859	-0.2882	4	16	48	3	2017.3333
137	average particle diameter	-0.4089	-0.0207	28	56	128	10	2011.7
138	average pore size	-0.2724	0.0321	25	15	41	3	2007.6667
139	average primary particle size	-0.7533	0.1249	27	8	32	4	2017.75
140	average width	0.3544	-1.0982	38	28	84	3	2011.6667
141	azaporphyrin	-0.1604	0.5131	34	7	18	3	2012
142	b2o3	-0.2909	0.3514	16	8	24	3	2010
143	back contact	-0.3118	0.5644	27	21	59	3	2013.6667
144	back sheet	-1.1426	0.8365	32	18	66	4	2014.75
145	back surface	-0.7344	-0.2048	26	19	42	4	2013.25
146	backbone	0.1922	0.076	9	60	102	7	2016.5714
147	band gap	0.0125	-0.109	1	77	126	8	2013.375
148	bandwidth	-0.3958	-0.5654	4	22	65	4	2015.75
149	bandwidth complementary	-0.3955	-0.5652	4	22	65	4	2015.75
150	barrier film	-0.537	0.4075	12	18	38	4	2017.25
151	barrier layer	-0.9214	-0.2639	36	59	122	8	2014.5
152	barrier packaging material	-0.4238	-0.5304	10	18	70	5	2019.8
153	barrier property	-0.0552	-0.0014	6	13	34	4	2016
154	base	-0.8365	-0.2513	36	92	213	12	2012.1667
155	base inhibitor	0.5259	-0.6855	40	16	76	5	2020.8
156	base material	-0.1978	-0.0091	24	119	261	17	2011
157	base plate surface direction	-0.4281	-0.5394	10	14	56	4	2019.75
158	base substrate	-0.308	0.0636	24	28	67	4	2012.25
