id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	1h nmr analysis	-0.1206	0.1262	18	44	44	1	2016
2	3or i	0.3555	0.4247	13	69	69	1	2021
3	ability	-0.3958	-0.3381	15	46	46	1	2024
4	absorption	-1.0742	0.2486	20	39	39	1	2022
5	absorption range	0.3548	0.4233	13	69	69	1	2021
6	abstract	-0.1203	-0.3166	5	97	99	2	2022.5
7	abundance	-0.2735	-0.8115	8	77	82	2	2021
8	ac conductivity	-0.396	-0.3386	15	46	46	1	2024
9	acceptable performance	-1.4925	-0.0755	14	51	51	1	2022
10	activation energy	-0.6073	-0.3461	1	62	62	1	2015
11	active species	-0.3574	0.0482	25	44	44	1	2021
12	actuator	0.1014	-0.4079	7	72	72	1	2014
13	addition	-0.4894	-0.2445	14	296	335	7	2020.4286
14	additional population	-0.4139	1.3591	16	44	44	1	2014
15	additive	0.4961	0.4841	10	245	286	5	2020.6
16	additive material	0.5921	0.7111	12	74	74	1	2023
17	additive tert butyl pyridine	0.5902	0.7148	12	74	74	1	2023
18	advancement	-0.0962	-0.8676	23	82	85	2	2021
19	advantage	0.4558	-0.6907	19	43	43	1	2016
20	afm	0.2373	-0.5256	19	72	75	2	2013
21	ag ch complex	0.0997	-0.4049	7	72	72	1	2014
22	ag ch il sol	0.1001	-0.4044	7	72	72	1	2014
23	ag ch il solution	0.1013	-0.4049	7	72	72	1	2014
24	ag np	0.1025	-0.4053	7	72	72	1	2014
25	ag nps	0.1032	-0.4054	7	72	72	1	2014
26	ag nps ag ch composite material	0.1004	-0.4079	7	72	72	1	2014
27	ag nps ag ch il sol	0.1016	-0.4037	7	72	72	1	2014
28	ag2o	0.1016	-0.4042	7	72	72	1	2014
29	agarose	-0.045	-0.2453	7	158	170	3	2018.3333
30	agarose chitosan hybrid material	0.1008	-0.4042	7	72	72	1	2014
31	agent	0.0501	-0.1625	7	191	212	4	2017.25
32	aloe vera	-1.4934	-0.0738	14	51	51	1	2022
33	ammonium iodide	-0.5698	-0.3924	1	41	41	1	2022
34	ammonium iodide concentration	-0.6068	-0.3478	1	62	62	1	2015
35	ammonium iodide electrolyte	-0.5693	-0.3931	1	41	41	1	2022
36	amorphous phase	0.1301	0.6458	9	39	39	1	2014
37	amorphousity	-0.3133	0.2103	3	38	38	1	2015
38	amount	-0.1534	0.3043	9	173	185	5	2017.8
39	amylopectin retrogradation	-0.414	1.3587	16	44	44	1	2014
40	analysis	0.7698	0.6954	6	83	83	1	2022
41	analytical technique	0.0995	-0.4072	7	72	72	1	2014
42	analytical tool	0.0474	0.515	4	36	36	1	2022
43	anion	-0.3563	0.0491	25	44	44	1	2021
44	annealing	0.0034	0.8172	9	27	27	1	2014
45	antisolvent methanol	0.1004	-0.4073	7	72	72	1	2014
